Date;Open;High;Low;Close;Adj Close;Volume
01/05/1997;2,4375;2,5;1,3125;1,5;1,5;256516800
01/06/1997;1,510417;1,708333;1,375;1,541667;1,541667;53163600
01/07/1997;1,541667;2,572917;1,510417;2,395833;2,395833;108614400
01/08/1997;2,34375;2,416667;1,9375;2,338542;2,338542;31906800
01/09/1997;2,34375;4,8125;2,3125;4,338542;4,338542;107862000
01/10/1997;4,4375;5,5;3,520833;5,083333;5,083333;105187200
01/11/1997;5,21875;5,21875;3,666667;4,125;4,125;67797600
01/12/1997;4,239583;5,041667;4,135417;5,020833;5,020833;64982400
01/01/1998;5;5,34375;4,145833;4,916667;4,916667;112080000
01/02/1998;4,947917;6,635417;4,770833;6,416667;6,416667;130621200
01/03/1998;6,322917;7,354167;5,833333;7,127604;7,127604;206818800
01/04/1998;7,104167;8,333333;6,427083;7,645833;7,645833;354868800
01/05/1998;7,729167;7,989583;6,645833;7,34375;7,34375;174870000
01/06/1998;7,333333;17,458334;6,875;16,625;16,625;583878600
01/07/1998;16,96875;24,5;15,708333;18,479166;18,479166;663946800
01/08/1998;18,291666;22,916666;13,854167;13,958333;13,958333;440607600
01/09/1998;12,6875;20;10,833333;18,604166;18,604166;677835600
01/10/1998;18;21,635416;13,333333;21,072916;21,072916;504444600
01/11/1998;21,354166;38,854168;20,125;32;32;651789600
01/12/1998;30,916666;60,3125;30,333334;53,541668;53,541668;724218000
01/01/1999;54,614582;99,5625;46,28125;58,46875;58,46875;646348800
01/02/1999;58,875;65;42,125;64,0625;64,0625;318146000
01/03/1999;63,5;89;57;86,09375;86,09375;331010000
01/04/1999;89,6875;110,625;75,5;86,03125;86,03125;363285400
01/05/1999;83,4375;83,53125;52,25;59,375;59,375;303767800
01/06/1999;55,75;64,75;44,875;62,5625;62,5625;364747400
01/07/1999;62,625;71,25;48,75;50,03125;50,03125;388650400
01/08/1999;49,1875;67,78125;41;62,1875;62,1875;459085800
01/09/1999;63,5;85;57,375;79,9375;79,9375;321616800
01/10/1999;77;90;65,875;70,625;70,625;254311500
01/11/1999;68,0625;96,875;61;85,0625;85,0625;281070200
01/12/1999;87,25;113;76;76,125;76,125;246476100
01/01/2000;81,5;91,5;58,4375;64,5625;64,5625;262209000
01/02/2000;67,5;85,9375;63,0625;68,875;68,875;207457700
01/03/2000;67,625;75,25;60;67;67;156584600
01/04/2000;65,4375;68,625;40,8125;55,1875;55,1875;162012500
01/05/2000;56;62,375;40,4375;48,3125;48,3125;130688600
01/06/2000;48,875;58,125;32,46875;36,3125;36,3125;203140900
01/07/2000;36,6875;43,9375;27,875;30,125;30,125;198524600
01/08/2000;30,625;43,96875;29,3125;41,5;41,5;144464700
01/09/2000;42,125;49,625;35,5;38,4375;38,4375;133739700
01/10/2000;38,1875;38,4375;19,375;36,625;36,625;246733500
01/11/2000;35,8125;40,875;22,125;24,6875;24,6875;159338900
01/12/2000;24,9375;27,625;14,875;15,5625;15,5625;202112900
01/01/2001;15,8125;22,375;13,5625;17,3125;17,3125;210486800
